angle	ws (m/s)	Freq
36	6	0.000416846
36	7	0.000425164
36	8	0.00041129
36	9	0.000379255
36	10	0.000334456
36	11	0.000282709
36	12	0.000229408
36	13	0.000178906
36	14	0.000134192
36	15	9.69E-05
36	16	6.73E-05
36	17	4.50E-05
36	18	2.90E-05
36	19	1.80E-05
36	20	1.08E-05
36	21	6.22E-06
36	22	3.45E-06
36	23	1.85E-06
36	24	9.51E-07
36	25	4.72E-07
39	4	0.000328875
39	5	0.000385019
39	6	0.000417391
39	7	0.000424908
39	8	0.000409496
39	9	0.000375477
39	10	0.000328631
39	11	0.000275153
39	12	0.000220715
39	13	0.000169798
39	14	0.00012537
39	15	8.89E-05
39	16	6.05E-05
39	17	3.96E-05
39	18	2.49E-05
39	19	1.50E-05
39	20	8.74E-06
39	21	4.87E-06
39	22	2.61E-06
39	23	1.35E-06
39	24	6.66E-07
39	25	3.17E-07
42	4	0.00033086
42	5	0.000387916
42	6	0.000420218
42	7	0.000426556
42	8	0.000409033
42	9	0.000372377
42	10	0.000322878
42	11	0.000267207
42	12	0.000211364
42	13	0.00015996
42	14	0.000115896
42	15	8.04E-05
42	16	5.35E-05
42	17	3.41E-05
42	18	2.08E-05
42	19	1.22E-05
42	20	6.82E-06
42	21	3.66E-06
42	22	1.88E-06
42	23	9.28E-07
42	24	4.38E-07
42	25	1.98E-07
45	4	0.000334634
45	5	0.000392721
45	6	0.000424828
45	7	0.000429646
45	8	0.000409533
45	9	0.000369734
45	10	0.000317154
45	11	0.000259013
45	12	0.000201663
45	13	0.00014982
45	14	0.000106268
45	15	7.20E-05
45	16	4.66E-05
45	17	2.88E-05
45	18	1.70E-05
45	19	9.60E-06
45	20	5.17E-06
45	21	2.66E-06
45	22	1.31E-06
45	23	6.13E-07
45	24	2.74E-07
45	25	1.17E-07
48	4	0.000339737
48	5	0.000398899
48	6	0.000430684
48	7	0.000433717
48	8	0.000410684
48	9	0.000367432
48	10	0.000311557
48	11	0.000250866
48	12	0.000192058
48	13	0.000139912
48	14	9.70E-05
48	15	6.41E-05
48	16	4.03E-05
48	17	2.41E-05
48	18	1.38E-05
48	19	7.48E-06
48	20	3.86E-06
48	21	1.90E-06
48	22	8.90E-07
48	23	3.96E-07
48	24	1.68E-07
48	25	6.75E-08
51	4	0.000345616
51	5	0.000405826
51	6	0.000437194
51	7	0.000438317
51	8	0.000412254
51	9	0.000365501
51	10	0.00030637
51	11	0.000243248
51	12	0.000183147
51	13	0.000130859
51	14	8.88E-05
51	15	5.72E-05
51	16	3.50E-05
51	17	2.03E-05
51	18	1.12E-05
51	19	5.85E-06
51	20	2.90E-06
51	21	1.37E-06
51	22	6.09E-07
51	23	2.58E-07
51	24	1.03E-07
51	25	3.92E-08
54	4	0.000351603
54	5	0.000412771
54	6	0.000443708
54	7	0.000443007
54	8	0.00041411
54	9	0.000364135
54	10	0.00030207
54	11	0.000236821
54	12	0.000175658
54	13	0.000123344
54	14	8.20E-05
54	15	5.16E-05
54	16	3.08E-05
54	17	1.74E-05
54	18	9.29E-06
54	19	4.70E-06
54	20	2.25E-06
54	21	1.02E-06
54	22	4.34E-07
54	23	1.75E-07
54	24	6.69E-08
54	25	2.41E-08
57	4	0.000356924
57	5	0.000418909
57	6	0.000449522
57	7	0.000447368
57	8	0.000416206
57	9	0.000363673
57	10	0.000299293
57	11	0.000232384
57	12	0.000170403
57	13	0.000118072
57	14	7.73E-05
57	15	4.79E-05
57	16	2.80E-05
57	17	1.55E-05
57	18	8.07E-06
57	19	3.98E-06
57	20	1.85E-06
57	21	8.12E-07
57	22	3.36E-07
57	23	1.31E-07
57	24	4.80E-08
57	25	1.66E-08
60	4	0.000360733
60	5	0.000423345
60	6	0.000453891
60	7	0.000450975
60	8	0.000418538
60	9	0.000364514
60	10	0.000298743
60	11	0.000230788
60	12	0.00016822
60	13	0.000115747
60	14	7.52E-05
60	15	4.61E-05
60	16	2.67E-05
60	17	1.46E-05
60	18	7.52E-06
60	19	3.66E-06
60	20	1.68E-06
60	21	7.23E-07
60	22	2.94E-07
60	23	1.12E-07
60	24	4.04E-08
60	25	1.37E-08
63	4	0.000362428
63	5	0.000425469
63	6	0.000456341
63	7	0.000453614
63	8	0.000421207
63	9	0.000367059
63	10	0.000301033
63	11	0.000232734
63	12	0.000169782
63	13	0.00011693
63	14	7.60E-05
63	15	4.67E-05
63	16	2.71E-05
63	17	1.48E-05
63	18	7.64E-06
63	19	3.72E-06
63	20	1.71E-06
63	21	7.38E-07
63	22	3.01E-07
63	23	1.15E-07
63	24	4.15E-08
63	25	1.41E-08
66	4	0.000362456
66	5	0.000425885
66	6	0.000457568
66	7	0.000455982
66	8	0.000424835
66	9	0.000371794
66	10	0.000306494
66	11	0.000238407
66	12	0.000175158
66	13	0.000121616
66	14	7.98E-05
66	15	4.95E-05
66	16	2.90E-05
66	17	1.61E-05
66	18	8.42E-06
66	19	4.16E-06
66	20	1.94E-06
66	21	8.53E-07
66	22	3.54E-07
66	23	1.38E-07
66	24	5.10E-08
66	25	1.77E-08
69	4	0.000361553
69	5	0.000425513
69	6	0.000458528
69	7	0.000458927
69	8	0.000430047
69	9	0.000379087
69	10	0.000315255
69	11	0.000247772
69	12	0.000184234
69	13	0.000129681
69	14	8.64E-05
69	15	5.46E-05
69	16	3.26E-05
69	17	1.84E-05
69	18	9.88E-06
69	19	5.01E-06
69	20	2.40E-06
69	21	1.09E-06
69	22	4.65E-07
69	23	1.88E-07
69	24	7.18E-08
69	25	2.59E-08
72	4	0.000360422
72	5	0.000425213
72	6	0.000460096
72	7	0.000463195
72	8	0.000437368
72	9	0.000389207
72	10	0.000327375
72	11	0.000260758
72	12	0.000196902
72	13	0.000141048
72	14	9.59E-05
72	15	6.19E-05
72	16	3.79E-05
72	17	2.20E-05
72	18	1.21E-05
72	19	6.34E-06
72	20	3.15E-06
72	21	1.48E-06
72	22	6.58E-07
72	23	2.77E-07
72	24	1.11E-07
72	25	4.18E-08
75	4	0.000359658
75	5	0.000425722
75	6	0.000463031
75	7	0.000469444
75	8	0.00044727
75	9	0.000402418
75	10	0.000342941
75	11	0.000277347
75	12	0.000213113
75	13	0.000155702
75	14	0.000108208
75	15	7.15E-05
75	16	4.50E-05
75	17	2.69E-05
75	18	1.53E-05
75	19	8.30E-06
75	20	4.27E-06
75	21	2.09E-06
75	22	9.71E-07
75	23	4.29E-07
75	24	1.80E-07
75	25	7.15E-08
78	4	0.0003597
78	5	0.00042762
78	6	0.00046796
78	7	0.000478255
78	8	0.000460213
78	9	0.000419033
78	10	0.000362131
78	11	0.000297624
78	12	0.000232917
78	13	0.000173704
78	14	0.000123509
78	15	8.37E-05
78	16	5.42E-05
78	17	3.34E-05
78	18	1.96E-05
78	19	1.10E-05
78	20	5.89E-06
78	21	3.00E-06
78	22	1.45E-06
78	23	6.72E-07
78	24	2.96E-07
78	25	1.24E-07
81	4	0.000360811
81	5	0.000431306
81	6	0.000475368
81	7	0.000490133
81	8	0.000476669
81	9	0.000439445
81	10	0.000385251
81	11	0.00032182
81	12	0.000256496
81	13	0.000195213
81	14	0.000141945
81	15	9.86E-05
81	16	6.55E-05
81	17	4.16E-05
81	18	2.52E-05
81	19	1.46E-05
81	20	8.10E-06
81	21	4.29E-06
81	22	2.17E-06
81	23	1.04E-06
81	24	4.81E-07
81	25	2.11E-07
84	4	0.000363065
84	5	0.000436995
84	6	0.000485598
84	7	0.000505515
84	8	0.000497121
84	9	0.000464145
84	10	0.000412758
84	11	0.000350336
84	12	0.000284186
84	13	0.000220511
84	14	0.000163756
84	15	0.000116424
84	16	7.93E-05
84	17	5.17E-05
84	18	3.22E-05
84	19	1.93E-05
84	20	1.10E-05
84	21	6.03E-06
84	22	3.16E-06
84	23	1.58E-06
84	24	7.58E-07
84	25	3.47E-07
87	4	0.000366352
87	5	0.00044472
87	6	0.000498848
87	7	0.000524763
87	8	0.000522066
87	9	0.000493714
